id,lat,lon,name,amenity,alias
2285929032,45.53494,-122.6587607,Schmizza Pub & Grub,restaurant,food_drink
2285943997,45.5052209,-122.6009034,Emily's Teriyaki and Pho,restaurant,food_drink
2292041426,45.562244,-122.635021,Yakuza,restaurant,food_drink
2292047085,45.562405,-122.635025,Beast,restaurant,food_drink
2296344299,45.310022,-122.762726,SanBlas,restaurant,food_drink
2296347198,45.310029,-122.76319,Rice Time Oriental Grill,restaurant,food_drink
2297522138,45.530201,-122.86899,Happy Panda,restaurant,food_drink
2297617020,45.5626008,-122.6350146,Cocotte,restaurant,food_drink
2300370070,45.4919331,-122.8101165,Thai Bloom,restaurant,food_drink
2300370221,45.4861417,-122.7961271,Qdoba,restaurant,food_drink
2300370353,45.4863124,-122.7963831,Noodles & Company,restaurant,food_drink
2304183957,45.5227117,-122.6371488,PaaDee,restaurant,food_drink
2307235175,45.5697641,-122.6871756,El Burrito Azteca,restaurant,food_drink
2307235176,45.5695923,-122.6879273,Thai Ginger,restaurant,food_drink
2307235177,45.5777774,-122.661057,Sparky's,restaurant,food_drink
2322320621,45.486323,-122.806104,Nak Won,restaurant,food_drink
2352750239,45.516587,-122.6514894,Roost,restaurant,food_drink
2356799694,45.49969,-122.411014,Swine Dining,restaurant,food_drink
2363289932,45.4961636,-122.548419,Reo's Ribs,restaurant,food_drink
2439962295,45.2332562,-122.4733017,Clarkes General Store & Eatery,restaurant,food_drink
2444673354,45.5045328,-122.4144108,Jimmy John's,restaurant,food_drink
2447471759,45.5623886,-122.6347539,Expat,restaurant,food_drink
2451848954,45.5851445,-122.4051209,Nuestra Mesa,restaurant,food_drink
2451848956,45.5860145,-122.4040802,Miss Nola's Cafe,restaurant,food_drink
2451848959,45.585626,-122.404172,Mill City Brewery,restaurant,food_drink
2451848961,45.585537,-122.404058,Kop Chai Thai,restaurant,food_drink
2451848963,45.584814,-122.4046062,El Rancho Viejo,restaurant,food_drink
2451848966,45.585873,-122.405266,Camas Thai Cuisine,restaurant,food_drink
2451848968,45.5861596,-122.4047212,Happy Island Restaurant,restaurant,food_drink
2451848970,45.5862963,-122.4035583,Natalia's Cafe,restaurant,food_drink
2451853883,45.586087,-122.402863,Feast 316,restaurant,food_drink
2451871699,45.5859428,-122.4036417,Rice Time,restaurant,food_drink
2452978311,45.588507,-122.3886232,Smitty's,restaurant,food_drink
2452984991,45.585847,-122.3715631,Chinese Garden,restaurant,food_drink
2452984994,45.5842444,-122.3683208,Don Pedro Taqueria,restaurant,food_drink
2452992121,45.5904454,-122.4052112,Top Burger,restaurant,food_drink
2452995931,45.6055235,-122.4073436,Lakeside Chalet,restaurant,food_drink
2452995932,45.5956795,-122.4765817,Three Sixty Kitchen & Bar,restaurant,food_drink
2452996560,45.595694,-122.477632,Papa Murphy's Take 'N' Bake Pizza,restaurant,food_drink
2452996561,45.5963685,-122.477014,Roots Restaurant & Bar,restaurant,food_drink
2471105886,45.4938438,-122.4090994,Bento Plus,restaurant,food_drink
2474781518,45.6691744,-122.5466739,Pied Piper Pizza,restaurant,food_drink
2475775560,45.586238,-122.403047,The Sushi Joint,restaurant,food_drink
2478100643,45.582809,-122.366779,Los Dos Compadres,restaurant,food_drink
2493200900,45.7418011,-122.8758351,Fultano's Pizza,restaurant,food_drink
2495734325,45.2179759,-123.0796757,The Joel Palmer House,restaurant,food_drink
2513535571,45.4441132,-122.6419988,Gramma's Corner Restaurant,restaurant,food_drink
2534116554,45.4976128,-122.5948923,Powell Seafood Restaurant,restaurant,food_drink
2545360663,45.5274342,-122.6804324,Burrito Bar,restaurant,food_drink
2573362680,45.5038141,-122.5232463,Dairy Queen,restaurant,food_drink
2573362685,45.5038404,-122.5238672,Cruiser's Drive-in,restaurant,food_drink
2573382711,45.5045153,-122.5471434,Tik Tok Pizza,restaurant,food_drink
2611882219,45.5359408,-122.6211263,Blackwell's Grub Steak Grill,restaurant,food_drink
2611884030,45.5358157,-122.6233722,My Canh,restaurant,food_drink
2613641071,45.5049367,-122.6229076,Tom's Restaurant,restaurant,food_drink
2616530853,45.504667,-122.6238112,Little Big Burger,restaurant,food_drink
2616541820,45.504663,-122.6241056,Yataimura Maru,restaurant,food_drink
2621730141,45.5165961,-122.6294074,Hoda's Middle Eastern Cuisine,restaurant,food_drink
2623854028,45.3493348,-122.5968599,Mitzil Loncheria Mexican,restaurant,food_drink
2624307217,45.678025,-122.5986569,Cameo Cafe,restaurant,food_drink
2682369117,45.5955284,-122.9952137,,restaurant,food_drink
2694266978,45.5480432,-122.6049402,Fire On the Mountain,restaurant,food_drink
2698212421,45.5192353,-122.5812656,Ya Hala,restaurant,food_drink
2698337405,45.519023,-122.5829708,Flying Pie Pizzeria,restaurant,food_drink
2698558821,45.578635,-122.3524831,B Street Cafe,restaurant,food_drink
2700942967,45.5166007,-122.623188,Two Brothers Cafe And Grill,restaurant,food_drink
2732575591,45.2627261,-122.6946969,Pappy's Greasy Spoon,restaurant,food_drink
2807686796,45.492482,-122.6021683,Nayar Taqueria,restaurant,food_drink
2807708352,45.4976077,-122.6020543,Steakadelphia,restaurant,food_drink
2815811404,45.344806,-122.653878,Thai Lemon,restaurant,food_drink
2825586601,45.407288,-122.723835,Jefe,restaurant,food_drink
2882849515,45.7188655,-122.6613371,Planet Thai,restaurant,food_drink
2906327001,45.511412,-122.822252,China Town,restaurant,food_drink
2924967045,45.5605409,-122.6748649,Sweedeedee,restaurant,food_drink
2933695013,45.521162,-122.989543,Taco del Mar,restaurant,food_drink
2968246619,45.5165815,-122.753089,Subway,restaurant,food_drink
2973892931,45.2615743,-122.6935705,Lone Elder Pizza,restaurant,food_drink
2985221202,45.4863133,-122.7967877,Wok 'n Guys,restaurant,food_drink
3009693836,45.5192739,-122.5816686,The Country Cat,restaurant,food_drink
3059991397,45.5141712,-122.6809926,Nel Centro,restaurant,food_drink
